icao_code;name_rus;name_eng;city_rus;city_eng;country_rus;runway_headings
SAHZ;Запала;Zapala;Запала;Zapala;Аргентина;
SBAQ;;Araraquara;;Araraquara;Бразилия;17:168°,35:348°
MGQC;;Quiche Airport;;Quiche;Гватемала;
ZSAQ;Аньцин;Anqing;Аньцин;Anqing;Китай;
OEPA;Кайсумах;Qaisumah;Кайсумах;Qaisumah;Саудовская Аравия;
OJAQ;;King Hussein Intl;Акаба;Aqaba;Иордания;
SWNI;;Ariquemes;;Ariquemes;Бразилия;
SPQU;;Rodriguez Ballon;Арекуипа;Arequipa;Перу;
;Сакани;Saqani;Сакани;Saqani;Фиджи;
KAQY;;Alyeska;;Alyeska;США;
KARA;;Acadiana Regional;;New Iberia;США;
KARB;;Municipal;;Ann Arbor, MI;США;
PARC;;Arctic Village;;Arctic Village;США;
WATM;Алор-Айленд;Alor Island;Алор-Айленд;Alor Island;Индонезия;
TJAB;;Arecibo;;Arecibo;Пуэрто Рико;
;;Acaricuara;;Acaricuara;Колумбия;
KARG;;Walnut Ridge;;Walnut Ridge;США;
ULAA;Архангельск/Аэропорт Талаги;Arkhangelsk/Talagi Airport;Архангельск;Arkhangelsk;Россия;08:079°,26:259°
SCAR;;Chacalluta;Арика;Arica;Чили;02:026°,20:206°
WAJA;Арсо;Arso;Арсо;Arso;Индонезия;
HTAR;Аруша;Arusha;Аруша;Arusha;Танзания;09:093°,27:273°
DFER;Арли;Arly;Арли;Arly;Буркина-Фасо;
YARM;Армидаль;Armidale;Армидаль;Armidale;Австралия;05:047°,23:227°,09:085°,27:265°
ESSA;;Arlanda;Стокгольм;Stockholm;Швеция;
;Арболетас;Arboletas;Арболетас;Arboletas;Колумбия;
;Араджип;Aragip;Араджип;Aragip;Папуа - Новая Гвинея;
;Араукита;Arauquita;Араукита;Arauquita;Колумбия;
SAVR;Альто-Рио-Сенгерр;Alto Rio Senguerr;Альто-Рио-Сенгерр;Alto Rio Senguerr;Аргентина;
SWEC;;Aragarcas;;Aragarcas;Бразилия;
KART;;Watertown;;Watertown;США;
SBAU;;Aracatuba;;Aracatuba;Бразилия;05:048°,23:228°
KARV;;Noble F. Lee;;Minocqua;США;
LRAR;Арад;Arad;Арад;Arad;Румыния;09:090°,27:270°
OIHR;;Asbury Park;;Neptune, NJ;США;
YARA;;Ararat;;Ararat;Австралия;12:115°,30:295°,04:044°,22:224°
HHSB;;Assab International;Ассаб;Assab;Эритрея;
UTAA;;Ashgabat;Ашхабад;Ashgabat;Туркменистан;11:114°,11:114°
SLAS;Аскеншн;Ascension;Аскеншн;Ascension;Боливия;
MYAF;;Andros Town;;Andros Town;Багамские острова;
KASE;Аспен;Aspen;Аспен;Aspen;США;
URWA;Астрахань аэропорт;Astrakhan Airport;Астрахань;Astrakhan;Россия;09:088°,27:268°,11:113°,29:293°
NZAS;Ашбертон;Ashburton;Ашбертон;Ashburton;Новая Зеландия;
KASH;;Boire Field;;Nashua, NH;США;
FHAW;;Wideawake Field;;Georgetown, Ascension Island;Остров святой Елены;
RJKA;Амами-О-Сима;Amami O Shima;Амами-О-Сима;Amami O Shima;Япония;
DIYO;;Yamoussoukro;;Yamoussoukro;"Кот д&#039;Ивуар";05:046°,23:226°
KASL;;Harrison County;Маршалл;Marshall;США;
HHAS;;Yohannes IV;;Asmara;Эритрея;
KASN;;Talladega;Талладега;Talladega;США;
HASO;Асоса;Asosa;Асоса;Asosa;Эфиопия;11:112°,29:292°
YBAS;Элис Спрингз;Alice Springs;Элис Спрингз;Alice Springs;Австралия;12:116°,30:296°,17:174°,35:354°
KASQ;Остин;Austin;Остин;Austin;США;
LTAU;;Erkilet International Airport;Кайсери;Kayseri;Турция;
KAST;;Astoria;;Astoria;США;
SGAS;;Silvio Pettirossi;Асунсьон;Asuncion;Парагвай;02:026°,20:206°
HKAM;Амбосели;Amboseli;Амбосели;Amboseli;Кения;
HESN;Асуан;Aswan;Асуан;Aswan;Египет;17:167°
KASX;Эшленд;Ashland;Эшленд;Ashland;США;
KASY;;Ashley;;Ashley;США;
;Асирим;Asirim;Асирим;Asirim;Папуа - Новая Гвинея;
SPHZ;Анта;Anta;Анта;Anta;Перу;
HSAT;Атбара;Atbara;Атбара;Atbara;Судан;01:013°,19:194°
AGAT;Атоифи;Atoifi;Атоифи;Atoifi;Соломоновы острова;
KATE;;Antlers;;Antlers;США;
SEAM;;Chachoan;Амбато;Ambato;Эквадор;
SPAY;;Attock;;Attock;Пакистан;
LGAV;;Eleftherios Venizelos;Афины;Athens;Греция;03:032°,03:032°
SUAG;Артигас;Artigas;Артигас;Artigas;Уругвай;11:110°,29:290°,05:049°,23:229°
FMME;Анцирабе;Antsirabe;Анцирабе;Antsirabe;Мадагаскар;05:050°,23:230°
PATQ;;Atqasuk;;Atqasuk;США;
KATL;;Hartsfield-jackson Atlanta International;;Atlanta, GA;США;
SBHT;Альтамира;Altamira;;Altamira;Бразилия;07:072°,25:252°
;Наматанай;Namatanai;Наматанай;Namatanai;Папуа - Новая Гвинея;
KUNI;;Ohio University;Афины;Athens;Греция;
;;Airstrip;Айтейп;Aitape;Папуа - Новая Гвинея;
